"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006334","GO:0006334","nucleosome assembly",95,0.698252158838657,2.25700607939063,1e-10,1.34375e-07,1.24473684210526e-07,3038,"tags=55%, list=19%, signal=45%","8358/8355/8342/8356/8352/3009/333932/126961/8368/3018/8970/8348/55506/3007/8340/8345/8353/3006/8346/8343/8339/8344/8354/3148/3008/3005/8359/8208/8366/3017/3014/8341/653604/8357/128312/8350/1616/440689/4171/8349/8971/8362/8968/8363/121504/85453/8347/8370/85236/83743/8294/554313"
"GO:0034728","GO:0034728","nucleosome organization",129,0.64066357034067,2.14024294048982,1e-10,1.34375e-07,1.24473684210526e-07,3120,"tags=44%, list=19%, signal=36%","8358/8355/8342/8356/8352/3009/333932/126961/8368/3018/8970/8348/55506/3007/8340/8345/8353/3006/8346/8343/8339/92815/8344/8354/3148/3008/3005/4778/8359/8208/8366/3017/3014/8341/653604/8357/64431/128312/8350/8089/1616/440689/4171/8349/8971/8362/8968/8363/121504/85453/8347/8370/85236/83743/8294/554313/10856"
"GO:0065004","GO:0065004","protein-DNA complex assembly",193,0.579483651882289,2.0113048391797,1e-10,1.34375e-07,1.24473684210526e-07,3038,"tags=34%, list=19%, signal=28%","8358/8355/8342/8356/8352/3009/333932/126961/8368/3018/8970/8348/55506/3007/8340/8345/8353/3006/8346/9787/8343/8339/8344/2491/8354/3148/3008/3005/51053/8359/8208/8366/1063/3017/3014/5888/11339/8341/64946/653604/8357/1062/128312/8350/11144/5889/1616/440689/4171/8349/201254/8971/8362/8968/8363/64105/121504/85453/8347/8370/85236/83743/2958/8294/10629/554313"
"GO:0071824","GO:0071824","protein-DNA complex subunit organization",227,0.553945504285381,1.94510216716876,1e-10,1.34375e-07,1.24473684210526e-07,3268,"tags=33%, list=20%, signal=27%","8358/8355/8342/8356/8352/3009/333932/126961/8368/3018/8970/4609/8348/55506/3007/8340/8345/8353/3006/8346/9787/8343/8339/92815/8344/2491/8354/3148/3008/3005/51053/4778/8359/8208/8366/1063/3017/3014/5888/11339/8341/64946/653604/8357/64431/1062/128312/8350/11144/5889/2960/8089/1616/440689/4171/8349/201254/8971/8362/8968/8363/64105/121504/85453/8347/8370/85236/83743/2958/8294/10629/554313/10856/10025/9013/8361"
"GO:0002181","GO:0002181","cytoplasmic translation",153,-0.480061783144411,-2.18850934010304,6.71994129003929e-10,7.22393688679223e-07,6.69164680039702e-07,4295,"tags=59%, list=26%, signal=44%","7555/8664/10399/8661/6188/6223/2107/6142/6181/6138/728689/8663/10492/23521/6169/6143/8665/5936/9045/6129/6201/8531/9147/6161/6233/6132/11224/200916/6208/6165/85451/6187/1968/6227/6135/6170/6229/89978/26986/6193/6139/6206/6194/6222/6130/6125/1983/6204/6136/6160/6124/1974/6171/9349/6234/1975/6207/2197/6122/4736/6134/6156/6202/6218/51386/6167/6141/6155/6189/255308/6217/6232/6157/6146/25873/6168/6191/6228/6210/6173/6205/6224/6137/6176/6164/6133/6144/6154/25946/132864/1939"
"GO:0019886","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",26,-0.804783837283404,-2.63281583674575,3.2955491053767e-09,2.60500023996091e-06,2.41305285385853e-06,1034,"tags=58%, list=6%, signal=54%","3127/3123/3108/972/8722/5641/3109/3119/3113/3122/3115/3111/2213/3117/3118"
"GO:0019884","GO:0019884","antigen processing and presentation of exogenous antigen",45,-0.706896055112215,-2.60651301454888,3.39255845204211e-09,2.60500023996091e-06,2.41305285385853e-06,1034,"tags=40%, list=6%, signal=38%","3127/3123/3108/972/8722/50856/5641/3109/3119/3113/3122/913/3115/3111/2213/3117/911/3118"
"GO:0002504","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",31,-0.754357916986816,-2.52812711226943,1.38137808227919e-08,9.28113399031329e-06,8.5972609594481e-06,1034,"tags=52%, list=6%, signal=48%","3127/3123/3108/972/8722/5641/3109/7057/3119/3113/3122/3115/3111/2213/3117/3118"
"GO:0002399","GO:0002399","MHC class II protein complex assembly",14,-0.900856551061021,-2.4999140574711,1.77718569540828e-08,9.55237311281948e-06,8.84851404134857e-06,1034,"tags=79%, list=6%, signal=74%","3127/3123/3108/3109/3119/3113/3122/3115/3111/3117/3118"
"GO:0002503","GO:0002503","peptide antigen assembly with MHC class II protein complex",14,-0.900856551061021,-2.4999140574711,1.77718569540828e-08,9.55237311281948e-06,8.84851404134857e-06,1034,"tags=79%, list=6%, signal=74%","3127/3123/3108/3109/3119/3113/3122/3115/3111/3117/3118"
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen",36,-0.723217229838446,-2.52208234640872,2.69092978443613e-08,1.22161307996177e-05,1.13159948459616e-05,1034,"tags=44%, list=6%, signal=42%","3127/3123/3108/972/8722/50856/5641/3109/3119/3113/3122/3115/3111/2213/3117/3118"
"GO:0019731","GO:0019731","antibacterial humoral response",24,0.833479499340332,2.15830869041842,2.72732222503092e-08,1.22161307996177e-05,1.13159948459616e-05,652,"tags=54%, list=4%, signal=52%","3512/3493/3507/8970/6037/3494/1991/10417/8346/8343/8398/8339/8344"
"GO:0050863","GO:0050863","regulation of T cell activation",289,-0.362883732087717,-1.82860873670193,3.02774003703632e-08,1.25185405377463e-05,1.15961217612808e-05,1658,"tags=21%, list=10%, signal=19%","135/57045/3077/114548/57630/57178/3561/5914/7133/283234/1947/6932/3707/101/3575/80149/942/30835/3127/10892/8744/3123/3108/8767/972/3109/4092/201633/6693/3119/921/3726/6666/407018/3113/3662/3122/84807/1960/10457/864/944/3115/27242/639/3111/2213/6714/920/3117/2615/441478/3553/8808/3552/9308/23308/6347/3280/3118"
"GO:0002495","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II",29,-0.750378102787516,-2.51624673594458,1.34822652080446e-07,4.30245205369685e-05,3.98542927079287e-05,1034,"tags=52%, list=6%, signal=49%","3127/3123/3108/972/8722/5641/3109/3119/3113/3122/3115/3111/2213/3117/3118"
"GO:0019730","GO:0019730","antimicrobial humoral response",49,0.696398776734587,2.04563012158202,1.30439813457787e-07,4.30245205369685e-05,3.98542927079287e-05,942,"tags=39%, list=6%, signal=37%","3512/3493/3507/5196/8970/2919/6037/3494/1991/566/10417/8346/8343/8398/8339/8344/6283/6280/10578"
"GO:0050870","GO:0050870","positive regulation of T cell activation",196,-0.398648593324399,-1.86974846754137,1.36077553326226e-07,4.30245205369685e-05,3.98542927079287e-05,1568,"tags=20%, list=10%, signal=19%","114548/57178/3561/5914/283234/1947/3707/101/3575/942/30835/3127/10892/8744/3123/3108/8767/972/3109/3119/921/6666/3113/3122/84807/1960/864/3115/3111/6714/920/3117/3553/8808/3552/9308/23308/6347/3280/3118"
"GO:0006338","GO:0006338","chromatin remodeling",317,0.471424582532384,1.68424841736568,1.1401605976654e-07,4.30245205369685e-05,3.98542927079287e-05,3038,"tags=24%, list=19%, signal=20%","8358/8355/8342/8356/8352/3009/333932/126961/8368/3018/8970/4609/8348/55506/8284/3007/8340/8345/54821/8353/3006/8346/8343/8339/92815/23314/8344/8354/3148/3008/3005/4778/8359/8208/8366/3017/3014/11339/8341/653604/10360/8357/27443/64431/128312/8350/80312/8438/8089/6596/1616/440689/4171/50943/8349/8971/8362/84823/8968/6871/4001/5080/8363/1111/121504/85453/8347/8370/85236/83743/29998/29915/8294/10629/554313"
"GO:0002396","GO:0002396","MHC protein complex assembly",18,-0.83287119131859,-2.47323492488313,2.05716558589382e-07,5.81961317062068e-05,5.39079956857495e-05,1034,"tags=61%, list=6%, signal=57%","3127/3123/3108/3109/3119/3113/3122/3115/3111/3117/3118"
"GO:0002501","GO:0002501","peptide antigen assembly with MHC protein complex",18,-0.83287119131859,-2.47323492488313,2.05716558589382e-07,5.81961317062068e-05,5.39079956857495e-05,1034,"tags=61%, list=6%, signal=57%","3127/3123/3108/3109/3119/3113/3122/3115/3111/3117/3118"
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation",39,0.726045778609399,2.03840253931995,2.57516866978875e-07,6.0180572174411e-05,5.57462142247176e-05,912,"tags=31%, list=6%, signal=29%","7272/5347/4085/991/10744/9232/9212/699/701/26271/11130/1063"
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation",39,0.726045778609399,2.03840253931995,2.57516866978875e-07,6.0180572174411e-05,5.57462142247176e-05,912,"tags=31%, list=6%, signal=29%","7272/5347/4085/991/10744/9232/9212/699/701/26271/11130/1063"
